,title,author,paragraphs,sentence,prompt
0,横吹曲辞：陇头吟,王维,长安少年游侠客，夜上戍楼看太白。陇头明月迥临关，身经大小百余战，麾下偏裨万户侯。苏武才为典属国，,长安少年游侠客，夜上戍楼看太白。,"Generate an image of an ancient Chinese scene with a young warrior standing on a watchtower at night. The warrior should be dressed in traditional attire, with a sword at his side. The watchtower should be made of stone and have a lantern hanging from its roof. The night sky should be clear, with a full moon shining brightly. The background should depict an ancient Chinese city, with traditional buildings and a river flowing through it. The colors should be muted, with shades of blue and gray dominating the scene. Ensure that there are no text or watermarks in the generated image."
1,横吹曲辞：出塞,王维,居延城外猎天骄，白草连天野火烧。暮云空碛时驱马，玉靶角弓珠勒马，汉家将赐霍嫖姚。,居延城外猎天骄，白草连天野火烧。,"Generate an image with no text or watermark. The picture should depict a scene from ancient China. In the foreground, there is a majestic white horse standing proudly. Its coat is as white as snow, and it is positioned on the left side of the image. On the right side, there is a vast grassland stretching towards the horizon. The grass is a vibrant green, and it seems to go on endlessly. In the distance, there are mountains covered in mist, creating a serene backdrop. The sky above is a clear blue, with wisps of white clouds scattered across it. The overall atmosphere should evoke a sense of tranquility and grandeur."
2,相和歌辞：从军行,王维,吹角动行人，喧喧行人起。笳鸣马嘶乱，争渡金河水。日暮沙漠垂，战声烟尘里。尽系名王颈，归来报天子。,吹角动行人，喧喧行人起。,"Create a serene image with ancient Chinese elements. The picture should depict a tranquil scene with a bridge over a flowing river. In the foreground, there should be a willow tree with its branches gently swaying in the breeze. The tree should be lush and green, symbolizing vitality. On the bridge, position a person wearing traditional Chinese clothing, walking leisurely. The person should be in a relaxed posture, enjoying the peaceful surroundings. The background should showcase misty mountains, painted in shades of blue and gray, evoking a sense of tranquility. The buildings in the distance should be traditional Chinese architecture, with curved roofs and intricate designs. Ensure that there are no texts or watermarks in the generated image."
3,相和歌辞：陇西行,王维,十里一走马，五里一扬鞭。都护军书至，匈奴围酒泉。关山正飞雪，烽戍断无烟。,关山正飞雪，烽戍断无烟。,"Generate an image with no text or watermark. The picture should depict a snowy mountain range with flying snowflakes. The mountains should be colored in shades of gray and white, towering in the background. In the foreground, there should be an ancient Chinese watchtower, positioned on a hill. The watchtower should be colored in earthy tones, such as brown and beige. The background scene should showcase a serene winter landscape, with a frozen river winding through the valley. The overall color scheme should be cool, with shades of blue and white dominating the image."
4,相和歌辞：班婕妤三首,王维,玉窗萤影度，金殿人声绝。秋夜守罗帏，孤灯耿不灭。宫殿生秋草，君王恩幸疏。那堪闻凤吹，门外度金舆。怪来妆阁闭，朝下不相迎。总向春园里，花间语笑声。,玉窗萤影度，金殿人声绝。,"Generate an image with a jade window on the left side, emitting a soft green glow. Outside the window, there are fireflies flickering in the night, casting their gentle light. On the right side, there is a magnificent golden palace, standing tall and silent. The palace is adorned with intricate carvings and has a grand entrance. The background should be a serene and tranquil scene, with a moonlit night sky painted in shades of indigo and silver. There should be a calm river flowing in the distance, reflecting the moon's shimmering light. The overall atmosphere should evoke a sense of ancient Chinese elegance and beauty. Please ensure that there are no text or watermarks in the generated image."
5,相和歌辞：祠渔山神女歌：迎神,王维,坎坎击鼓，渔山之下。吹洞箫，望极浦。女巫进，纷屡舞。陈瑶席，湛清酤。风凄凄，又夜雨。不知神之来兮不来，使我心兮苦复苦。,风凄凄，又夜雨。,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a weeping willow tree with its long, slender branches cascading down towards a tranquil pond. The leaves of the tree should be a vibrant shade of emerald green, gently swaying in the wind. The pond should be calm, reflecting the soft hues of the surrounding landscape. In the background, there should be a traditional Chinese pavilion, adorned with intricate carvings and a curved, tiled roof. The pavilion should be painted in a rich vermilion color, symbolizing prosperity and good fortune. The sky should be a dusky indigo, with wisps of clouds scattered across it. The overall atmosphere should evoke a sense of melancholy and tranquility, capturing the emotions described in the poem."
6,相和歌辞：祠渔山神女歌：送神,王维,纷进舞兮堂前，目眷眷兮琼筵。来不言兮意不传，倏云收兮雨歇，山青青兮水潺湲。,倏云收兮雨歇，山青青兮水潺湲,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a lush green mountain with a gentle waterfall cascading down into a clear, flowing river. The mountain is adorned with vibrant green trees and colorful flowers. The river is surrounded by smooth pebbles and small rocks. The sky above is clear, with fluffy white clouds scattered across a light blue backdrop. The overall atmosphere should evoke a sense of tranquility and natural beauty."
7,杂曲歌辞：苦热行,王维,赤日满天地，火云成山岳。草木尽焦卷，川泽皆竭涸。轻纨觉衣重，密树苦阴薄。莞簟不可近，𫄨绤再三濯。思出宇宙外，旷然在寥廓。长风万里来，江海荡烦浊。却顾身为患，始知心未觉。忽入甘露门，宛然清凉乐。,赤日满天地，火云成山岳。,"Generate an image with no text or watermark. The picture should depict a vibrant scene inspired by ancient Chinese style. In the foreground, there is a majestic mountain range, formed by fiery clouds that resemble a blazing sun. The clouds are a vivid shade of red, symbolizing the intensity of the sun's rays. The mountains are depicted in various shades of gray and brown, showcasing their rugged beauty. The background should be a serene landscape, featuring lush greenery, flowing rivers, and traditional Chinese architecture. The overall color scheme should be warm and earthy, with hints of red and gold."
8,杂曲歌辞：少年行四首,王维,新丰美酒斗十千，咸阳游侠多少年。相逢意气为君饮，系马高楼垂柳边。汉家君臣欢宴终，高议云台论战功。天子临轩赐侯印，将军佩出明光宫。出身仕汉羽林郎，初随骠骑战渔阳。孰知不向边庭苦，纵死犹闻侠骨香。一身能臂两雕弧，虏骑千群只似无。偏坐金鞍调白羽，纷纷射杀五单于。,相逢意气为君饮，系马高楼垂柳边。,"Generate an image with no text or watermark. The picture should depict a scene from ancient China. In the foreground, there is a person dressed in traditional Chinese clothing, raising a cup in a toast. The person is surrounded by vibrant green willow trees, which hang gracefully beside a tall, elegant building. The building is adorned with intricate carvings and has a distinct ancient Chinese architectural style. The background should be a serene landscape, with rolling hills and a clear blue sky. The overall color palette should consist of soft, muted tones, reminiscent of traditional Chinese paintings."
9,杂曲歌辞：渭城曲,王维,渭城朝雨浥轻尘，客舍青青柳色春。劝君更尽一杯酒，西出阳关无故人。,渭城朝雨浥轻尘，客舍青青柳色春。,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a light rain falling on a small inn. The inn is surrounded by vibrant green willow trees, symbolizing the arrival of spring. The raindrops gently touch the ground, creating a sense of tranquility. The color palette should consist of soft, muted tones, with hints of green and blue to represent the rain and the lush vegetation. The background should showcase a picturesque landscape, featuring distant mountains and a winding river. The overall atmosphere should evoke a feeling of peace and harmony."
